Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Panama,PAN,..,65.7954851304345,67.3308242369767,66.2710512979724,64.2010338827306,63.456812407926,62.6083111957921,60.8162289846478,55.7314430262309,59.146321684673,55.6785327069028,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Papua New Guinea,PNG,..,17.9566992008056,19.8978533141482,20.1970976486281,20.4727149108597,20.7901145352139,21.0887919428102,21.3879792994669,21.3951056705837,21.5774797142847,21.8932192221897,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Paraguay,PRY,..,46.2720598112323,56.2982024065822,56.2314493682051,55.7658519901698,56.373600466602,56.9882297331403,57.0745757718992,54.4787720801116,55.7605011590454,57.7913349774597,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Peru,PER,..,38.6360840215077,47.3813446315179,48.0473500923792,47.3818262649592,47.0212982392225,46.7355017539028,47.0867855713563,43.6433670126777,46.5422575546061,48.0961380664047,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Philippines,PHL,..,50.7230570218898,57.5381941139711,58.9784285307779,61.240168294881,62.4015912923821,63.4845307614713,63.8503115756379,62.594581650418,63.5681538199937,63.9412755712503,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Poland,POL,..,72.6193473265224,78.6470373789718,78.76756539292,79.2835271044996,79.5855898254667,79.7257010548956,79.9915138119776,79.4436987603435,80.2736426017564,80.1408367971156,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Portugal,PRT,..,73.6774386891779,80.2759166570905,81.5977317824401,82.2504429877956,82.8007080085654,83.3621039159831,83.1579624796376,83.3245284617474,84.0208158257089,84.8432359395724,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Puerto Rico,PRI,..,85.5421556360827,83.667259030934,83.3165619633121,83.3424182115862,83.3377082897067,83.3501937263966,83.3206445762648,83.2019810384129,83.1992125999242,83.2451239564313,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Qatar,QAT,..,98.8415800122098,99.5591736332252,99.5770580308801,99.5916265564321,99.5982742484346,99.6039611578029,99.6012368392395,99.6003662738484,99.6061951100373,99.6071570117246,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Romania,ROU,..,53.912858903171,67.9177325027452,71.02482867726,73.390982596205,74.0498568638638,74.778816417569,75.7718792383085,76.2329407300173,76.5035106043944,76.7970902435533,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Russian Federation,RUS,..,95.4997558819711,92.8192590457259,92.8019405117048,92.5197674819512,92.8551173411476,93.1797263357092,93.3063500336207,93.2574310276288,93.3353122793838,93.3878397066933,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Rwanda,RWA,..,8.36924783916772,30.6247542483979,31.650579970718,32.5860396932493,33.4046496078551,34.0976248826297,34.8095379237743,35.1635850698187,35.5142869700757,36.0029452585055,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Samoa,WSM,..,63.0203036785076,64.3305083372494,64.4463779324568,64.482681133832,64.5319647439473,64.5546488547213,64.7531770069004,64.6086480569239,64.6818885804978,64.8254529385771,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Sao Tome and Principe,STP,..,34.9902458056965,40.6137352682991,41.0396992756945,41.5958060099445,42.1609456130713,42.5667797789959,43.0320021881838,42.7234289221536,42.974159909206,43.3206347207355,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Saudi Arabia,SAU,..,94.2041324537973,96.9629193672231,97.0300014327603,97.1612221529364,97.3094963163466,97.4321793997709,94.7679815155262,94.4637731206116,93.4257346873867,93.5547939687013,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Senegal,SEN,..,21.0454292220401,32.493869859902,33.4134393917908,27.6939219334132,30.245161465674,32.5625419274834,34.3226723969319,34.6141433752786,35.078626099503,35.6425884848681,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Serbia,SRB,..,61.1554174574941,68.2891411579371,69.8407518075953,68.5768676370775,70.2262342248524,71.7423126981566,72.3005050941475,73.0105803573144,72.6362315467961,73.0637800584313,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Sierra Leone,SLE,..,8.42547620212114,10.9324021389153,10.7435542580895,10.7084264190783,10.6761108075161,10.6035288906388,10.5983339595144,10.5591127417389,10.6707382283741,10.8478214318863,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Singapore,SGP,..,84.601779063966,85.380829226061,86.0096078938996,86.0953868711966,86.2189242610083,86.378396612538,86.3920932598038,86.3220519535947,86.3591561234668,86.379576618491,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Slovak Republic,SVK,..,89.7153792899106,84.8719657227495,84.8427338258202,84.5592962375499,84.844649917561,85.1582535859075,84.9426628937282,85.0525096280832,85.0630228995336,84.9936153973664,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Slovenia,SVN,..,83.3061571010821,81.2321495229745,83.2845586859082,85.6852194020336,85.1378360353862,84.6621325560572,86.2959868154454,87.3856439841129,86.8721881850093,86.0271589283871,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Solomon Islands,SLB,..,24.1634123766958,29.9249511946338,30.6066306214033,31.4078163684402,32.3307333460061,33.2532284687834,34.2498701482671,34.1637031338452,34.6920965227411,35.3189603768114,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Somalia,SOM,..,44.0958880096552,45.534860558284,46.1811832476881,46.8725667937561,47.314954093453,47.7615921141279,48.2274409807887,48.077415987436,48.3850771584067,48.7741479592896,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,South Africa,ZAF,..,74.8908236246057,77.572469840398,76.678811646934,75.5724789482279,75.3135058159429,75.075008027058,73.8577859622347,69.4742198814365,69.3837063559285,71.0141470546016,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,South Sudan,SSD,..,5.64273921293216,7.02812571508663,7.50979005348936,8.08173541724206,8.87894901772273,9.90334889992815,11.1109272715028,10.6666361786824,10.8482073579063,11.0943053769946,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Spain,ESP,..,79.8984861243898,82.4023886698031,82.7157200592916,83.0552396528642,83.5381852992674,84.0257299064875,84.3171298188919,83.9293205035028,84.1440340476362,84.6606085787742,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Sri Lanka,LKA,..,56.2393807360344,57.0213332119027,56.1467250301126,57.8228574942634,57.8146763965502,57.8032003749327,57.9198416635084,57.4529165944616,57.608558226036,57.8475926787936,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,St. Lucia,LCA,..,65.2542372881356,70.4967827025299,70.9130118478487,71.2503948948,71.6448293730106,71.9721283268454,71.2665273243935,73.85472688395,71.2760165317891,71.1941554026803,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,St. Vincent and the Grenadines,VCT,..,73.9819350887936,73.6652965355255,73.7098664166862,73.6177083089595,73.6890094218315,73.7481633509807,73.5673335673336,73.0794857241566,73.2412854295299,73.3749117439397,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Sudan,SDN,..,38.2329811228928,38.3465383324892,38.7966841558705,39.2618298865301,39.5112821126401,39.7235177694507,39.8678905767295,39.7218534867732,39.9697912101584,40.3033103989302,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Suriname,SUR,..,81.5211463887542,78.2385816149547,77.5450851739774,76.785788730111,76.6405324095177,76.8091995087641,77.1396974604052,76.795598098587,77.0774502221343,77.3496910777952,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Sweden,SWE,..,88.9154223788138,89.6659411039065,89.7455208873191,90.0104577581701,90.1526393347969,90.287207274459,90.1593350194632,90.0791580351573,89.856339517131,89.495405600745,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Switzerland,CHE,..,81.9844517090295,84.7567356104306,85.0249118068914,84.9940211365092,85.1150340195162,85.2632140595387,85.6717196688373,85.7109162366238,84.3599645701161,83.6491660491639,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Syrian Arab Republic,SYR,..,48.9127218500534,61.7616102534022,61.6775292430887,61.7051702491504,61.8702628988489,62.180449681911,62.5426144207035,62.9298891453611,63.0925289962777,63.2995576479037,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Tajikistan,TJK,..,63.6980588830138,68.2094351370809,69.0181083459161,69.9154705952993,70.6340697456833,71.5021299133355,72.176783262104,72.1843736547192,72.5028066555746,72.8483458062136,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Tanzania,TZA,..,9.74461463593971,13.4005402841855,13.5285071025048,13.6710487727755,13.8644244006874,14.0156029451728,14.1660915399406,13.9590591401147,14.1470367718173,14.416769352323,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Thailand,THA,..,38.1834151461771,47.3578117957886,48.4228050711936,49.0616581229018,48.7683853765662,48.5342455517117,49.716914821577,49.4768793534918,47.3026729931846,47.9630651314409,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Timor-Leste,TLS,..,26.7624497380193,29.6880094244889,29.9717249878564,30.2649608849469,30.5662937405414,31.1019933761448,32.6310341153009,32.4228500801885,32.7644684596773,33.2098036087742,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Togo,TGO,..,9.22347524459861,22.1913891345936,22.9654683051997,23.4084367699116,23.8060899326818,24.2363575342311,24.4947413391845,24.3640654411826,24.5990910503691,24.9733944488608,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Tonga,TON,..,44.2089154646187,46.6928981129984,47.0069489018503,47.443372953577,47.8982612120871,48.2042601213147,48.5508262955585,48.1673914271192,48.3261038816594,48.6054698077444,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Trinidad and Tobago,TTO,..,77.4012531875042,78.470794932294,77.7693786279548,76.4496497021054,76.2238391313669,76.0291732508039,75.6826355877108,74.38109096776,75.4147959415378,75.4835183445982,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Tunisia,TUN,..,72.7546341935553,72.0916901698252,73.6051992519383,73.3544587762246,73.5127121638237,73.9559967210772,74.4092040863028,74.086597863763,74.3299313217994,74.6099251616329,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Turkiye,TUR,..,48.5975106690314,66.0635757813602,66.8640799669247,67.5547999750612,67.8193133455587,67.9917474146994,68.4637817907753,69.8345894304537,69.9269101671357,70.2727201168116,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Turkmenistan,TKM,..,57.2001783325903,67.0984717318101,67.2719360091003,67.599727495782,67.7118122611959,67.8816381499935,67.9725886631439,67.7179979433439,67.8601417374122,68.0485037883733,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Uganda,UGA,..,17.0360741648031,20.010086526187,20.1014044831432,19.9764936885291,19.7559472293095,19.559418719696,19.3710455146693,18.9056610271889,18.6810033134288,18.8364564487094,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Ukraine,UKR,..,89.9395217843898,84.1335015245945,84.0675832308341,84.3631138080618,83.6940527675794,83.0175615393831,82.3587342247336,82.2685763823622,82.3645322039348,..,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,United Arab Emirates,ARE,..,97.2452951997651,97.1545802149188,97.116394393035,97.0544560984402,96.703169952254,96.0260832902126,95.0581192318863,95.3888105321727,95.5883233721818,95.5327410816167,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,United Kingdom,GBR,..,87.7166585579973,84.7253338558265,84.9814286609903,84.5457067841929,84.7085773175153,84.8718888170919,84.42244004463,84.3129747611806,84.3239668191136,84.3284834169864,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,United States,USA,..,92.4354629684697,93.5542606551109,93.5556031721927,93.613319038909,93.6599652060823,93.718986295326,93.9061355920018,93.6933592822056,93.4165875102362,93.7164228063599,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Uruguay,URY,..,73.0254568068557,73.2074460961564,72.6756320121898,72.152870429573,71.9257573931275,71.8196108019743,71.3077829981171,71.5127152502898,71.4862509123677,71.6460654790396,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Uzbekistan,UZB,..,45.6826537318014,50.940182091586,51.3608704965659,51.7877049524576,52.2845641914871,53.0123734894024,53.6362518448595,53.3914569702208,53.5781941706709,53.843368226372,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Vanuatu,VUT,..,23.0902853172363,33.6120712082358,34.8025394284467,35.8300965684353,36.8814192343604,37.9392698737632,38.979826800821,39.0636513064672,39.4025784788875,39.8105685248773,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,"Venezuela, RB",VEN,..,58.0305569157371,64.9676021097705,65.0809312301977,64.8246586801742,64.1298445932666,62.8899176263443,60.4672175191662,59.3635788008399,59.5938435812974,59.8505320924203,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Viet Nam,VNM,..,18.6732524576649,35.6607393529832,39.3362152668877,41.2438285286256,42.5884862412298,43.9443357705525,45.035777603856,44.8067330141359,45.5902101902521,46.2061468416779,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Virgin Islands (U.S.),VIR,..,91.4718179907033,90.4278674928038,90.2882337765895,90.2103041942291,90.1603276770041,90.1477583240563,90.1873040542351,89.9386335742534,89.9569661108123,89.9754863610285,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,West Bank and Gaza,PSE,..,65.4813779425626,67.6272006224251,68.6394320104279,69.4586902707645,69.6220688576002,69.7383667150271,71.4346070119157,72.3156707025995,72.2197937491102,76.1726629762078,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,"Yemen, Rep.",YEM,..,50.4265737327158,50.4916008448659,48.7218435476916,47.4974383209322,46.1711317504358,45.2418531948554,44.7421529596585,44.8257517072253,45.1300793525284,45.5223871080919,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Zambia,ZMB,..,18.299983673569,22.0510959899024,22.9195640302366,23.9563235689939,25.0069560378408,25.831111803069,25.616826914674,24.6763500080853,26.6505891924245,26.9806855414987,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Zimbabwe,ZWE,..,29.80291817167,24.0834761640543,25.0763788502031,25.982374021738,27.351238840529,28.2597984139349,29.0801346230848,32.1693140030353,35.7864535381366,36.5342846882553,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Africa Eastern and Southern,AFE,..,24.0107885532627,25.0495898444585,25.2715940093226,25.2581130349533,25.3495163377599,25.3556882403739,25.2439197802781,24.6091616213757,24.7101082425594,25.0696403849941,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Africa Western and Central,AFW,..,15.707770804916,18.3770142608843,18.2819477177841,18.1743351242979,17.7012152001926,17.6698859426186,17.5718446846088,17.2823983820389,17.3749561561208,17.5647889625623,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Arab World,ARB,..,61.3022309606824,67.6322107778689,68.4422356450667,70.3654148110794,70.2965309525025,70.2560024075044,70.5527283422561,70.6986868204397,70.5856471218723,70.6766088951266,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Caribbean small states,CSS,..,74.0466577182554,74.5185212839978,74.3330788695185,74.0347309074408,73.9748324812551,73.8365785616393,73.8705750428515,73.8375974005205,73.9098732030467,73.9788392869842,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Central Europe and the Baltics,CEB,..,73.0393792773619,79.7125725394652,80.5428277213836,81.3543849438479,81.6807465980611,81.9669422526026,82.3082958071311,82.002240195767,82.5013591336308,82.4255285784548,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Early-demographic dividend,EAR,..,30.9940308509811,38.1514191754997,39.0537389301963,40.7388022556318,40.3523228977771,40.8247459430167,40.8847953351614,39.2595914540669,39.630878823891,39.6646479135278,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,East Asia & Pacific,EAS,..,40.8934985093838,52.3357313513686,53.1819691790409,53.7448961720779,54.1583387844475,54.7297731802542,55.2600570898729,54.9994919022318,55.2988637925087,55.5981699715021,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,East Asia & Pacific (excluding high income),EAP,..,36.7349027128199,48.936511163284,49.8145287608737,50.383981041064,50.7882304064942,51.3600128393756,51.8907086817729,51.565667794928,51.9269610806538,52.2515693624452,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,37.02991393957,49.3855759963796,50.2780296498905,50.8540634872899,51.2674588532062,51.8509834887919,52.3911753971392,52.0640060178551,52.422033878973,52.7534234869071,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Euro area,EMU,..,82.9323419300991,84.2797635251255,84.4705195860331,84.7338741810234,85.0293625878761,85.3311304206337,85.4347282420598,85.4949023754674,85.6771247342325,85.5782833939952,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Europe & Central Asia,ECS,..,80.001591517923,81.4518899205506,81.6926325407374,81.8490691981917,82.0934418792889,82.349146878726,82.4209704510339,82.5070858411944,82.5885316164379,82.5442118061893,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Europe & Central Asia (excluding high income),ECA,..,62.4511449008129,67.0165532711347,67.4255203267135,67.7247998713691,67.9349215598747,68.1599631736809,68.2215594601055,68.560390833645,68.5323155661393,65.6146069098774,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,75.6284042913289,78.0803282725277,78.3202156889927,78.4757647404455,78.6895288546041,78.9216918520281,79.0246498187581,79.1890588785742,79.2298503686986,78.863491522844,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,European Union,EUU,..,80.6932045841568,83.3649300863202,83.7106029172157,84.0974064209882,84.3917444950806,84.6892792924818,84.8449497850129,84.8128800832177,85.0830058583928,85.0107032852015,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Fragile and conflict affected situations,FCS,..,27.3350788515575,27.9610042941821,27.7960748217099,27.7276456297235,27.2495157542504,27.0101148976697,26.6170892879417,25.9624285942929,25.9699621959954,23.0549830085655,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Heavily indebted poor countries (HIPC),HPC,..,15.8907362386772,18.8870247803958,19.07457884219,19.1123806400025,19.2859621436298,19.4818767789423,19.5977765869887,19.3661195109965,19.6102090921973,19.9146466818638,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,High income,HIC,..,85.8145356958302,87.6763737240635,87.8729037280682,87.9799288030109,88.1403799209986,88.3147404118204,88.383634151238,88.2732907078401,88.3809769743749,88.421394507535,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,IBRD only,IBD,..,40.2683962363319,48.7650548864993,49.4320086899381,49.9828728206305,50.1086026808502,50.8219289412644,51.1054272703043,50.0228632713052,50.1453011368396,49.9817104794621,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,IDA & IBRD total,IBT,..,37.2137272690628,44.1671918472827,44.6549565784447,45.4632409339714,45.3383855307366,45.6916724525684,45.8099254601608,44.7957662918101,44.989896551701,44.8402087634588,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,IDA blend,IDB,..,28.5725956881114,30.9283766966315,30.7680249070745,36.790910387636,34.0277060029384,31.5832755290307,30.6446743599909,30.6767870795212,31.4009863511534,31.4357072787511,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,IDA only,IDX,..,21.4098520287369,25.2726547107976,25.4391559667631,25.6386669273344,25.91608467337,26.1300113621188,26.305361694234,26.0670417494525,26.3063222963861,26.5805173140933,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,IDA total,IDA,..,23.6323953586089,27.0696130016975,27.1312358266514,29.1713074629694,28.4548759740572,27.8219596741915,27.6499915549978,27.49707539618,27.8974273508481,28.1016704914421,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Late-demographic dividend,LTE,..,45.1379298180504,55.731132995901,56.1750988742605,56.5966015939688,57.0050330022988,57.5827413748512,58.1144362635781,57.9099304959942,58.0573171605516,58.6621561278962,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Latin America & Caribbean,LCN,..,60.3183599759211,64.5359978208035,64.1457936878067,63.7769278116936,63.3791275306064,62.942876031822,62.9674681171866,62.5294901193281,62.0156638107143,63.1032757035957,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Latin America & Caribbean (excluding high income),LAC,..,59.6611805426736,63.977853215245,63.5485180503306,63.2000607329652,62.8153030068789,62.4191874555186,62.5479431314777,62.1134599593198,61.4928790385387,62.6835891445736,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,59.5123662595118,64.2030840535838,63.8314196445567,63.4632811976878,63.0617967955288,62.626193886154,62.659976453546,62.2116797136225,61.6976649319205,62.8087029822915,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Least developed countries: UN classification,LDC,..,19.0577779213675,23.4534684008873,23.6493753356524,23.7692972250358,24.0758101981558,24.3342244490722,24.48107659645,24.2482131803185,24.4676199404858,24.7221464968447,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Low & middle income,LMY,..,34.5824283210748,42.0009716583841,42.5238083887067,43.3827229649837,43.2590290014365,43.6396246635162,43.8038540409237,42.7655734987505,42.999251342989,42.8745279658235,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Low income,LIC,..,16.0408597332636,18.0323339103259,18.0149378629005,18.1859974482796,18.2884822865758,18.4273840619206,18.5062167830218,18.2918107050052,18.5319792947789,18.9055490793447,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Lower middle income,LMC,..,23.074530398181,29.4129549818449,30.340589429644,32.4386109342655,32.0695392740518,32.7834277887822,32.986412884836,31.4265697388684,31.9287392255177,31.9356513142487,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Middle East & North Africa,MEA,..,62.5542915193778,68.897057289439,69.5862740954904,71.1268373483308,70.9318689905298,70.8069518030056,71.1928042224822,71.7151937320923,71.8342686801797,71.9296721394038,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Middle East & North Africa (excluding high income),MNA,..,56.6474048965688,60.9148091270971,61.5578536065745,63.4435464594989,63.1609170419368,62.8934298445923,63.7019431956781,64.3244494571889,64.7528205627665,65.0452250816269,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,56.5786497089089,60.8571158041759,61.4950019365613,63.3907018111539,63.1042209877546,62.8337989734866,63.6317956732378,64.2539361218953,64.6835142617343,64.9378311802409,..
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,Middle income,MIC,..,35.947993642657,44.1477612814635,44.7453763402937,45.7080760347349,45.6070100261417,46.0547797448358,46.267786171133,45.2298337543468,45.4675113468412,45.3352729456798,..
